Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB)
101.00-102.00 sec,0.50 MBytes,4.17 Mbits/sec,0,91.9 KBytes
102.00-103.00 sec,1.01 MBytes,8.34 Mbits/sec,0,97.6 KBytes
103.00-104.00 sec,1.01 MBytes,8.34 Mbits/sec,0,106 KBytes
104.00-105.00 sec,1.01 MBytes,8.34 Mbits/sec,0,112 KBytes
105.00-106.00 sec,1.01 MBytes,8.34 Mbits/sec,0,120 KBytes
106.00-107.00 sec,1.01 MBytes,8.34 Mbits/sec,0,137 KBytes
107.00-108.00 sec,1.62 MBytes,13.6 Mbits/sec,1,120 KBytes
108.00-109.00 sec,1.01 MBytes,8.34 Mbits/sec,0,139 KBytes
109.00-110.00 sec,1.49 MBytes,12.5 Mbits/sec,0,148 KBytes
110.00-111.00 sec,1.01 MBytes,8.34 Mbits/sec,0,151 KBytes
111.00-112.00 sec,1.49 MBytes,12.5 Mbits/sec,0,151 KBytes
112.00-113.00 sec,1.49 MBytes,12.5 Mbits/sec,0,151 KBytes
113.00-114.00 sec,1.49 MBytes,12.5 Mbits/sec,0,157 KBytes
114.00-115.00 sec,1.49 MBytes,12.5 Mbits/sec,4,123 KBytes
115.00-116.00 sec,1.01 MBytes,8.34 Mbits/sec,0,146 KBytes
116.00-117.00 sec,1.49 MBytes,12.5 Mbits/sec,0,160 KBytes
117.00-118.00 sec,1.49 MBytes,12.5 Mbits/sec,0,164 KBytes
118.00-119.00 sec,1.49 MBytes,12.5 Mbits/sec,0,164 KBytes
119.00-120.00 sec,1.49 MBytes,12.5 Mbits/sec,0,164 KBytes
120.00-121.00 sec,1.49 MBytes,12.5 Mbits/sec,0,167 KBytes
121.00-122.00 sec,1.49 MBytes,12.5 Mbits/sec,0,177 KBytes
122.00-123.00 sec,1.49 MBytes,12.5 Mbits/sec,1,165 KBytes
123.00-124.00 sec,1.68 MBytes,14.1 Mbits/sec,0,164 KBytes
124.00-125.00 sec,1.49 MBytes,12.5 Mbits/sec,0,182 KBytes
125.00-126.00 sec,1.49 MBytes,12.5 Mbits/sec,4,141 KBytes
126.00-127.00 sec,1.49 MBytes,12.5 Mbits/sec,0,154 KBytes
127.00-128.00 sec,1.49 MBytes,12.5 Mbits/sec,0,158 KBytes
128.00-129.00 sec,1.49 MBytes,12.5 Mbits/sec,0,158 KBytes
129.00-130.00 sec,1.49 MBytes,12.5 Mbits/sec,0,161 KBytes
130.00-131.00 sec,1.49 MBytes,12.5 Mbits/sec,0,168 KBytes
131.00-132.00 sec,1.49 MBytes,12.5 Mbits/sec,5,160 KBytes
132.00-133.00 sec,1.49 MBytes,12.5 Mbits/sec,0,148 KBytes
133.00-134.00 sec,1.01 MBytes,8.34 Mbits/sec,0,165 KBytes
134.00-135.00 sec,1.99 MBytes,16.7 Mbits/sec,0,174 KBytes
135.00-136.00 sec,1.49 MBytes,12.5 Mbits/sec,0,175 KBytes
136.00-137.00 sec,1.49 MBytes,12.5 Mbits/sec,0,175 KBytes
137.00-138.00 sec,1.99 MBytes,16.7 Mbits/sec,0,177 KBytes
138.00-139.00 sec,1.49 MBytes,12.5 Mbits/sec,0,182 KBytes
139.00-140.00 sec,1.49 MBytes,12.5 Mbits/sec,2,163 KBytes
140.00-141.00 sec,1.62 MBytes,13.6 Mbits/sec,0,164 KBytes
141.00-142.00 sec,1.49 MBytes,12.5 Mbits/sec,0,182 KBytes
142.00-143.00 sec,1.99 MBytes,16.7 Mbits/sec,0,192 KBytes
143.00-144.00 sec,1.49 MBytes,12.5 Mbits/sec,6,139 KBytes
144.00-145.00 sec,1.49 MBytes,12.5 Mbits/sec,18,79.2 KBytes
145.00-146.00 sec,0.50 MBytes,4.17 Mbits/sec,0,86.3 KBytes
146.00-147.00 sec,1.01 MBytes,8.34 Mbits/sec,0,89.1 KBytes
147.00-148.00 sec,0.50 MBytes,4.17 Mbits/sec,0,96.2 KBytes
148.00-149.00 sec,1.01 MBytes,8.34 Mbits/sec,0,103 KBytes
149.00-150.00 sec,1.01 MBytes,8.34 Mbits/sec,0,110 KBytes
150.00-151.00 sec,1.01 MBytes,8.34 Mbits/sec,0,117 KBytes
151.00-152.00 sec,1.49 MBytes,12.5 Mbits/sec,0,132 KBytes
152.00-153.00 sec,1.01 MBytes,8.34 Mbits/sec,1,116 KBytes
153.00-154.00 sec,1.01 MBytes,8.34 Mbits/sec,0,136 KBytes
154.00-155.00 sec,1.55 MBytes,13.0 Mbits/sec,2,105 KBytes
155.00-156.00 sec,1.01 MBytes,8.34 Mbits/sec,0,117 KBytes
156.00-157.00 sec,1.01 MBytes,8.34 Mbits/sec,0,122 KBytes
157.00-158.00 sec,1.01 MBytes,8.34 Mbits/sec,0,122 KBytes
158.00-159.00 sec,1.49 MBytes,12.5 Mbits/sec,0,129 KBytes
159.00-160.00 sec,1.01 MBytes,8.34 Mbits/sec,0,136 KBytes
160.00-161.00 sec,1.49 MBytes,12.5 Mbits/sec,0,143 KBytes
161.00-162.00 sec,1.01 MBytes,8.34 Mbits/sec,0,153 KBytes
162.00-163.00 sec,1.49 MBytes,12.5 Mbits/sec,2,127 KBytes
163.00-164.00 sec,1.55 MBytes,13.0 Mbits/sec,0,156 KBytes
164.00-165.00 sec,1.49 MBytes,12.5 Mbits/sec,0,173 KBytes
165.00-166.00 sec,1.49 MBytes,12.5 Mbits/sec,4,134 KBytes
166.00-167.00 sec,1.01 MBytes,8.34 Mbits/sec,0,146 KBytes
167.00-168.00 sec,1.49 MBytes,12.5 Mbits/sec,0,148 KBytes
168.00-169.00 sec,1.49 MBytes,12.5 Mbits/sec,0,148 KBytes
169.00-170.00 sec,1.49 MBytes,12.5 Mbits/sec,0,154 KBytes
