Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB)
159.00-160.00,1.55,1.55,1,163
160.00-161.00,1.49,1.49,2,130
161.00-162.00,1.01,0.99,0,144
162.00-163.00,1.49,1.49,0,148
163.00-164.00,1.49,1.49,0,148
164.00-165.00,1.01,0.99,0,153
165.00-166.00,1.49,1.49,0,160
166.00-167.00,1.49,1.49,1,137
167.00-168.00,1.49,1.49,0,141
168.00-169.00,1.49,1.49,0,157
169.00-170.00,1.01,0.99,0,164
170.00-171.00,1.55,1.55,0,165
171.00-172.00,1.99,1.99,0,165
172.00-173.00,1.49,1.49,0,167
173.00-174.00,1.49,1.49,0,174
174.00-175.00,1.49,1.49,1,139
175.00-176.00,1.06,1.06,0,161
176.00-177.00,1.49,1.49,1,127
177.00-178.00,1.01,0.99,0,136
178.00-179.00,1.49,1.49,0,137
179.00-180.00,1.06,1.06,0,140
180.00-181.00,1.49,1.49,0,147
181.00-182.00,1.55,1.55,0,154
182.00-183.00,1.49,1.49,0,161
183.00-184.00,1.49,1.49,0,182
184.00-185.00,1.62,1.62,2,151
185.00-186.00,1.01,0.99,1,122
186.00-187.00,1.62,1.62,0,139
187.00-188.00,1.49,1.49,0,147
188.00-189.00,1.01,0.99,0,148
189.00-190.00,1.12,1.12,2,126
190.00-191.00,1.49,1.49,0,141
191.00-192.00,1.01,0.99,0,147
192.00-193.00,1.49,1.49,0,148
193.00-194.00,1.49,1.49,0,148
194.00-195.00,1.49,1.49,0,150
195.00-196.00,1.01,0.99,1,140
196.00-197.00,1.68,1.68,0,134
197.00-198.00,1.12,1.12,0,150
198.00-199.00,1.49,1.49,0,156
199.00-200.00,1.49,1.49,0,157
200.00-201.00,1.49,1.49,0,157
201.00-202.00,1.49,1.49,0,158
202.00-203.00,1.49,1.49,0,167
203.00-204.00,1.49,1.49,0,182
204.00-205.00,1.55,1.55,1,147
205.00-206.00,1.49,1.49,7,116
206.00-207.00,1.01,0.99,0,126
